"Date";"CHLOROA";"year";"CHLOROA_noseason";"Code_point_Libelle";"Outlier";"Changepoint";"Trend";"pvaltrend";"pvalchange";"psens";"slopesens"
2012-06-04;0,674615384615385;"2012";-0,174213657730847;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2012-06-14;0,705;"2012";0,345531213060844;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2012-06-24;0,555;"2012";0,503257598712075;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2012-07-04;0,78;"2012";0,919448321021079;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2012-07-14;0,896923076923077;"2012";1,19842313702073;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2012-07-24;0,802857142857143;"2012";1,23169011900364;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2012-08-03;0,831428571428571;"2012";1,17830912153482;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2012-08-13;0,93;"2012";1,16680386472676;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2012-08-23;0,908571428571429;"2012";1,05319653949683;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2012-09-02;0,537142857142857;"2012";0,534488972155187;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2012-09-12;0,8;"2012";0,906697531701787;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2012-09-22;1,13333333333333;"2012";1,40107379061584;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2012-10-02;1,84533333333333;"2012";1,94701902562099;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2012-10-12;1,96;"2012";1,71586318166324;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2012-10-22;0,46;"2012";0,161421585076914;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2012-11-01;0,745714285714286;"2012";0,756517913246883;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2012-11-11;0,688571428571429;"2012";0,991163853475245;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2012-11-21;0,455714285714286;"2012";0,985294330816343;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2012-12-01;0,434285714285714;"2012";1,10981651624864;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2012-12-11;0,395714285714286;"2012";1,17263668433443;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2012-12-21;0,354761904761905;"2012";1,14763109643727;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2012-12-31;0,316666666666667;"2012";1,10937765104245;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2013-01-10;0,356428571428571;"2013";1,13390491767069;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2013-01-20;0,577857142857143;"2013";1,2946454121243;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2013-01-30;0,651428571428571;"2013";1,32190207399072;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2013-02-09;0,73;"2013";1,39318361403179;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2013-02-19;0,806;"2013";1,13806364217414;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2013-03-01;0,666;"2013";0,768712433646868;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2013-03-11;0,822307692307692;"2013";0,710221865164071;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2013-03-21;1,548;"2013";0,802516105118712;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2013-03-31;3,14133333333333;"2013";2,37256950905558;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2013-04-10;4,70307692307692;"2013";3,76467751725452;"les Hébihens";"OUI";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
